Run_ID,Condition,Time_Period,ID,Name,Pool_Total_Revenue,Output,Capacity,Capability,Dispatch_Cost,Incr_Cost,Full_Load_Cost,Net_Cost,Fixed_Cost,Variable_OM_Cost,Fixed_Cost_Base,Variable_OM_Cost_Base,Fixed_Cost_Aux1,Variable_OM_Cost_Aux1,Fixed_Cost_Aux2,Variable_OM_Cost_Aux2,Fuel_Usage,Output_MWH,Output_MWH_Primary,Output_MWH_Secondary,Percent_Marginal,Percent_Committed,Primary_Fuel_Usage,Revenue,Energy_Revenue,Capacity_Revenue,Secondary_Fuel_Usage,Total_Fuel_Cost,Value,Forced_Outage,Maint_Outage,Used_For_Op_Reserve,Spin_Reserve,Spin_Reserve_Revenue,Non_Spin_Reserve,Non_Spin_Reserve_Revenue,Input_Spin_Reserve,Input_Spin_Reserve_Revenue,Report_Year,Report_Month,Report_Day,Report_Hour,LT_Iteration,Risk_Iteration,Study_Info,Record_Number,Total_Hours_Run
Forcing Wind,Average,2021,AB,Alberta,3949932534,9629.609375,17548.06055,"13,527.00",131.78,28.57,29.28,19.3,"789,556.00","367,201.00","661,180.00","436,243.00",128376.01,-69042.2,.,0,"316,118,176.00",84355376,84355376,0,39.55,3.5,316118176,3828798.75,3828798.75,0,.,1193047.75,"1,462,264.00",2871.39,506.2950745,646.4769287,646.4094849,0,0.06742993,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,781,8760
Forcing Wind,Average,2021,AB_CCCT_NG,AB_CCCT_NG,3949932534,2363.178467,3441.375244,"3,135.00",84.81,36.74,37.48,36.89,"189,532.00","143,549.00","140,485.00","143,549.00",49046.57,0,.,0,"146,346,704.00",20701444,20701444,0,18.36,13.6,146346704,956014.6875,956014.6875,0,.,589861.88,"26,220.00",174.85,131.8296814,29.43664551,29.43664551,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,782,8760
Forcing Wind,Average,2021,AB_HY_WAT,AB_HY_WAT,3949932534,250.5209656,894,251,5.93,2.83,2.83,2.92,"28,767.00","6,200.00","28,767.00","6,200.00",0,0,.,0,0,2194563.5,2194563.5,0,0,0,0,98087.4375,98087.4375,0,.,0,"63,121.00",0,0,595.7694092,595.7694092,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,783,8760
Forcing Wind,Average,2021,AB_OtherTech_NG,AB_OtherTech_NG,3949932534,89.28594208,97.98904419,89,75.5,35.95,37.62,38.92,"4,049.00","6,033.00","4,049.00","6,033.00",0,0,.,0,"5,799,610.50",782144.81,782144.81,0,0.02,0,5799610.5,35569.38672,35569.38672,0,.,23172.63,"2,047.00",4.77,3.930410862,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,784,8760
Forcing Wind,Average,2021,AB_SCCT_NG,AB_SCCT_NG,3949932534,5257.978027,7358.787598,"6,884.00",61.1,26.28,27.05,18.03,"294,445.00","224,632.00","215,116.00","224,632.00",79329.43,0,.,0,"142,721,984.00",46059884,46059884,0,19.45,0.08,142721984,2076901.875,2076901.875,0,.,572954.06,"978,273.00",285.35,189.113327,21.06425285,20.99682236,0,0.06742993,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,785,8760
Forcing Wind,Average,2021,AB_SCCT_OT,AB_SCCT_OT,3949932534,85.62976837,94,86,10.24,4.88,4.9,5.06,"5,155.00","3,009.00","5,155.00","3,009.00",0,0,.,0,"8,171,485.00",750116.81,750116.81,0,0,0,8171485,34007.50391,34007.50391,0,.,663.43,"25,181.00",3.67,4.699999809,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,786,8760
Forcing Wind,Average,2021,AB_ST_Coal,AB_ST_Coal,3949932534,19.72839737,1756.030151,"1,518.00",754.43,58.79,60.07,61.42,"125,161.00","1,787.00","125,161.00","1,787.00",0,0,.,0,"1,597,192.88",172820.75,172820.75,0,1.72,1.44,1597192.88,9990.501953,9990.501953,0,.,5462.7,"-125,431.00",80.03,157.7972565,0.206628263,0.206628263,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,787,589
Forcing Wind,Average,2021,AB_ST_OT,AB_ST_OT,3949932534,301.9983521,340,302,9.13,4.35,4.36,4.51,"26,159.00","10,610.00","26,159.00","10,610.00",0,0,.,0,"11,481,031.00",2645505.5,2645505.5,0,0,0,11481031,119937.375,119937.375,0,.,932.13,"82,236.00",21,17,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,788,8760
Forcing Wind,Average,2021,AB_ST_SUN,AB_ST_SUN,3949932534,3.634100437,15,4,0,0,0,0,514,.,514,.,0,0,.,0,0,31834.72,31834.72,0,0,0,0,1460.698975,1460.698975,0,.,0,947,9.87,1.5,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,789,4617
Forcing Wind,Average,2021,AB_WT_WND,AB_WT_WND,3949932534,1257.65332,3545,"1,253.00",-5.46,-2.6,-2.6,-2.68,"115,606.00","-28,619.00","115,606.00","40,424.00",0,-69042.2,.,0,0,11017043,11017043,0,0,0,0,496827.875,496827.875,0,.,0,"409,841.00",2291.66,0,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,790,8760
Forcing Wind,Average,2021,AB_Renewables,Alberta Renewables Group,3949932534,1899.436401,4888,"1,895.00",-0.34,-0.16,-0.16,-0.45,"176,200.00","-8,800.00","176,200.00","60,242.00",0,-69042.2,.,0,"19,652,516.00",16639063,16639063,0,0,0,19652516,750320.875,750320.875,0,.,1595.57,"581,325.00",2326.2,23.20000076,595.7694092,595.7694092,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,791,8760
Forcing Wind,Average,2021,Intertie,AB Interties,3949932534,1569.189819,2526,"2,526.00",87.93,41.87,41.87,43.67,.,.,.,.,0,0,.,0,"123,714,928.00",13746103,13746103,0,91.12,0,123714928,643588.25,643588.25,0,.,581113.94,"62,474.00",0,0,71.49846649,62.01410675,0,9.484360695,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,792,7982
Base Case,Average,2022,MRO,MidwestReliabilityOrganization,3803798786,285.5234985,306,306,86.93,41.4,41.4,42.97,.,.,.,.,0,0,.,0,"22,510,672.00",2501185.75,2501185.75,0,95.41,0,22510672,109254.1172,109254.1172,0,.,104051.53,"5,203.00",0,0,0,0,0,0,0,0,0,2022,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,78,8358
